Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Czech Republic,CZE,6312596675.96249,4987079129.26384,5640707235.87483,8496609035.7758,2021275745.95501,6423465150.75736,13730164683.4592,7132002407.70599,13815656003.7033,8815393022.10815,5271613701.7927,10167834374.8186,4188736491.29368,9433199804.77647,7357578652.57,8088661929.8803,1699914616.60242,10850612308.2062,9210079461.8537,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Denmark,DNK,16847919225.9809,36013297907.195,9286404805.96887,4430703178.95052,1184825159.91313,-8804165491.1002,12847031342.3671,2385249288.38419,11809448518.2128,2191215665.76653,3771059440.08035,-11767861925.0632,13558894634.3461,-16349825685.2634,680338945.938662,6577348986.65252,1850770714.86075,7626405301.91449,2357373493.81492,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Djibouti,DJI,3212901.12029529,3286049.48205333,3392958.62616123,3432346.2055694,14224542.9634089,38543559.8494269,22203341.1920932,108287709.387186,195351140.270424,227654582.182184,96859684.5617569,36501032.5172602,79000230.6986794,109998255.692912,286004467.676864,152998382.294329,123998424.487959,159998874.634256,165001125.365744,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Dominica,DMA,17955555.5555556,17596296.2962963,17115925.9259259,20110637.037037,31472140.7407407,26173948.1481481,19235559.2592593,25907525.9259259,40486774.8148148,56548262.962963,42420685.5555556,24341705.1851852,14192972.5925926,23152398.1481481,17915757.4074074,14324196.1365035,11051185.7333333,41154792.847963,-2112051.52348547,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Dominican Republic,DOM,1337800000,989000000,1087900000,926000000,616530000,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000,3415900000,1599900000,2385300000,2227300000,2516100000,3597200000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ecuador,ECU,648410000,-23439367.9139981,538568575.17,783261009.55,871513414.023619,836939593.895645,493413835.545644,271428852.53,193872526.93,1057036020.15482,308548890.109,165836320.363638,644072358.687904,567487300.85638,727033206.263418,772269946.091118,1322490337.30748,767413868.12224,618432412.2592,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Egypt, Arab Rep.",EGY,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7391700000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,El Salvador,SLV,215800000,173400000,278900000,470000000,141200000,363270000,511140000,241130000,1550510000,903050000,368730000,-113160683.724283,122500004.314785,430126687.532424,245179098.280128,506295970.34993,494541718.092298,479469380.713821,330917516.659593,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Equatorial Guinea,GNQ,154296173.9421,154499589.873816,940741215.678838,323391507.457804,689779766.001376,340914468.516047,769146185.171423,469506014.649353,1242731087.26451,-793872332.823439,1636219625.31714,2734000000,1975000000,985256411.512026,582948749.089143,167875165.599749,233242320.486243,53955827.9978053,304074312.247895,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Eritrea,ERI,83222078.1431869,27870106.71,12131626.5,22766165.86,24999786.56,24103664.84,1431553.832,15375609.76,7206504.065,39000000,91000000,91000000,39000000,41358136.65,43858858.13,46510785.84,49323061.48,52305000,55468000,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Estonia,EST,305183394.217294,416214286.787887,592889580.182473,338234260.376913,1037745582.89648,1086502852.96118,3127298002.07021,2212181185.41304,3429043145.33097,1873250284.80747,1865561409.88628,2592803326.67143,1118556803.53608,1788040739.48022,1098646096.3363,1780989569.30499,-714370930.343786,939248602.501359,1555186131.82212,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Eswatini,SWZ,98270489.5571516,90658006.1898745,29330084.3469718,92945313.1719954,-60190680.4797119,69582011.8372508,-45850344.677386,121031132.733167,37493846.2379167,105729374.657006,65705859.515037,135660413.694601,98708321.7157849,26480002.3332333,81790158.3971155,25782635.1713071,31498094.370293,26852077.6519874,-59462742.8777851,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Ethiopia,ETH,69980000,134640000,349400000,255000000,465000000,545100000,265111675.482385,545257102.2,222000573,108537544,221459581.4,288271568.250744,626509560.351343,278562822.162861,1343876023.73137,1855050375.57801,2626520129.68937,3988953391.67599,4017159564.65434,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Fiji,FJI,-33204290.1567557,591375.114626099,41301661.8470268,30674592.4352292,40313853.1329202,250618684.707101,184929270.355653,460444078.462108,377939524.321663,338522354.580362,160649876.137796,356156642.660059,402356103.357028,375988474.164292,264709009.793542,347993346.472806,307878423.719429,281832467.498006,300456697.525836,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Finland,FIN,4649170220.86788,13499419748.1522,3222225508.97586,8080985211.98093,5963557456.14468,6771281519.43878,10875828408.3114,4631613503.99188,21985066155.0099,19403176597.8441,-8826514766.94336,12226437615.5386,-6008160154.38709,4932843235.40106,-4940707105.97727,17243598342.2252,16843228522.129,4503963931.05013,14197916867.3991,..
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,France,FRA,45986859387.4475,41382267637.1702,50126614944.0104,51493238175.3571,42324928757.8752,35581202492.2809,85179159787.3156,78945704919.8979,83780962091.2732,67999194663.2055,18380195792.7671,38899924637.7217,44191741839.7551,32950453827.8547,31589259642.153,5809580555.10443,42803255076.3836,45349681277.976,47335618618.877,..
